standarization,kernel,C,epsilon,RMSE_count,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_count,MAE_mean,MAE_std,MAE_min,MAE_max,R2_count,R2_mean,R2_std,R2_min,R2_max
True,linear,0.1,0.05,3,0.6340624093205797,0.0,0.6340624093205797,0.6340624093205797,3,0.5021983834177552,0.0,0.5021983834177552,0.5021983834177552,3,0.3848025489810962,0.0,0.3848025489810962,0.3848025489810962
True,linear,0.1,0.1,3,0.6297560862456265,0.0,0.6297560862456265,0.6297560862456265,3,0.5007844528727416,0.0,0.5007844528727416,0.5007844528727416,3,0.39313057033229604,0.0,0.39313057033229604,0.39313057033229604
True,linear,1.0,0.05,3,0.6340298707209882,0.0,0.6340298707209882,0.6340298707209882,3,0.5021371920745115,0.0,0.5021371920745115,0.5021371920745115,3,0.38486568834909624,0.0,0.3848656883490963,0.3848656883490963
True,linear,1.0,0.1,3,0.6298323742647202,0.0,0.6298323742647202,0.6298323742647202,3,0.500689933050767,0.0,0.500689933050767,0.500689933050767,3,0.39298353032164113,0.0,0.39298353032164113,0.39298353032164113
True,linear,10.0,0.05,3,0.6340400682670783,0.0,0.6340400682670783,0.6340400682670783,3,0.5021417786737246,0.0,0.5021417786737246,0.5021417786737246,3,0.3848459009187882,0.0,0.38484590091878823,0.38484590091878823
True,linear,10.0,0.1,3,0.6298693895566835,0.0,0.6298693895566835,0.6298693895566835,3,0.5006782339588984,0.0,0.5006782339588984,0.5006782339588984,3,0.392912179425692,0.0,0.392912179425692,0.392912179425692
True,rbf,0.1,0.05,3,0.6304885039886209,0.0,0.6304885039886209,0.6304885039886209,3,0.48842836989115623,0.0,0.48842836989115623,0.48842836989115623,3,0.3917181491808117,0.0,0.3917181491808117,0.3917181491808117
True,rbf,0.1,0.1,3,0.6245002347863585,0.0,0.6245002347863585,0.6245002347863585,3,0.4889885010049233,0.0,0.4889885010049233,0.4889885010049233,3,0.40321798549563787,0.0,0.4032179854956378,0.4032179854956378
True,rbf,1.0,0.05,3,0.596423677797591,0.0,0.596423677797591,0.596423677797591,3,0.4510337931979789,0.0,0.4510337931979789,0.4510337931979789,3,0.4556725110654567,0.0,0.4556725110654567,0.4556725110654567
True,rbf,1.0,0.1,3,0.5927681962816933,0.0,0.5927681962816933,0.5927681962816933,3,0.4535284760142549,0.0,0.4535284760142549,0.4535284760142549,3,0.46232443139974394,0.0,0.462324431399744,0.462324431399744
True,rbf,10.0,0.05,3,0.610842394591688,0.0,0.610842394591688,0.610842394591688,3,0.4554982020806955,0.0,0.4554982020806955,0.4554982020806955,3,0.4290358293231525,0.0,0.42903582932315254,0.42903582932315254
True,rbf,10.0,0.1,3,0.6034113694939715,0.0,0.6034113694939715,0.6034113694939715,3,0.4552356658434629,0.0,0.455235665843463,0.455235665843463,3,0.4428431274008573,0.0,0.4428431274008573,0.4428431274008573
